id,duration,timeLoss,departLane
v15,50.00,11.95,E3_0
v14,54.00,14.93,E3_0
v17,46.00,7.56,E3_0
v34,52.00,13.24,E7_0
v33,55.00,16.08,E7_0
v16,49.00,10.68,E3_0
v36,48.00,8.95,E7_0
v35,51.00,12.12,E7_0
v18,45.00,6.53,E3_0
v19,43.00,4.57,E3_0
v37,46.00,7.85,E7_0
v38,44.00,5.22,E7_0
v1,80.00,45.68,E1_0
v2,78.00,43.14,E1_0
v21,79.00,44.16,E5_0
v20,82.00,47.25,E5_0
v4,74.00,39.13,E1_0
v3,77.00,41.91,E1_0
v23,75.00,40.19,E5_0
v22,78.00,43.05,E5_0
v6,70.00,34.85,E1_0
v5,73.00,37.84,E1_0
v8,66.00,31.53,E1_0
v25,71.00,35.95,E5_0
v24,74.00,38.83,E5_0
v27,66.00,31.67,E5_0
v7,69.00,33.81,E1_0
v10,61.00,26.36,E1_0
v26,70.00,35.20,E5_0
v9,64.00,29.58,E1_0
v29,62.00,27.64,E5_0
v12,57.00,22.68,E1_0
v28,66.00,31.07,E5_0
v11,60.00,25.49,E1_0
v31,57.00,22.58,E5_0
v30,61.00,25.87,E5_0
v13,56.00,21.17,E1_0
v32,56.00,21.32,E5_0
v53,48.00,9.79,E3_0
v52,51.00,12.59,E3_0
v55,44.00,5.72,E3_0
v72,50.00,10.98,E7_0
v71,53.00,14.71,E7_0
v54,47.00,8.40,E3_0
v74,45.00,6.94,E7_0
v73,49.00,10.57,E7_0
v75,44.00,5.66,E7_0
v56,44.00,5.06,E3_0
v76,43.00,4.67,E7_0
v57,44.00,4.93,E3_0
v40,75.00,40.47,E1_0
v39,78.00,43.41,E1_0
v42,71.00,36.66,E1_0
v59,77.00,41.92,E5_0
v58,80.00,45.40,E5_0
v41,74.00,39.29,E1_0
v61,72.00,37.80,E5_0
v44,67.00,32.66,E1_0
v60,76.00,41.20,E5_0
v43,70.00,35.09,E1_0
v63,68.00,33.50,E5_0
v46,63.00,28.46,E1_0
v62,72.00,36.97,E5_0
v45,66.00,31.01,E1_0
v65,64.00,29.69,E5_0
v47,61.00,26.70,E1_0
v48,59.00,24.32,E1_0
v64,68.00,33.33,E5_0
v67,60.00,25.68,E5_0
v49,57.00,22.56,E1_0
v50,55.00,20.14,E1_0
v66,64.00,29.11,E5_0
v69,56.00,21.53,E5_0
v51,53.00,18.37,E1_0
v68,60.00,25.00,E5_0
v70,55.00,20.34,E5_0
v91,44.00,5.48,E3_0
v90,49.00,10.56,E3_0
v92,43.00,4.68,E3_0
v110,47.00,7.93,E7_0
v109,51.00,12.02,E7_0
v111,46.00,7.50,E7_0
v112,44.00,5.07,E7_0
v93,44.00,5.66,E3_0
v113,43.00,4.81,E7_0
v94,43.00,4.75,E3_0
v114,44.00,5.04,E7_0
v95,44.00,5.07,E3_0
v77,76.00,41.22,E1_0
v78,74.00,38.94,E1_0
v97,75.00,40.23,E5_0
v96,78.00,43.07,E5_0
v79,72.00,37.20,E1_0
v80,70.00,35.01,E1_0
v99,71.00,36.26,E5_0
v98,74.00,39.05,E5_0
v81,68.00,33.15,E1_0
v82,66.00,30.90,E1_0
v101,67.00,32.41,E5_0
v100,70.00,35.03,E5_0
v83,64.00,29.08,E1_0
v84,62.00,26.95,E1_0
v103,63.00,28.20,E5_0
v102,66.00,31.30,E5_0
v85,60.00,24.85,E1_0
v86,58.00,22.77,E1_0
v87,55.00,20.60,E1_0
v88,53.00,18.39,E1_0
v105,59.00,23.98,E5_0
v104,62.00,27.30,E5_0
v89,51.00,16.54,E1_0
v107,55.00,20.02,E5_0
v106,58.00,23.10,E5_0
v108,53.00,18.71,E5_0
v129,43.00,4.85,E3_0
v128,46.00,7.15,E3_0
v148,44.00,5.11,E7_0
v147,49.00,10.24,E7_0
v149,44.00,4.97,E7_0
v130,44.00,4.96,E3_0
v150,43.00,4.22,E7_0
v131,43.00,4.72,E3_0
v151,43.00,4.59,E7_0
v132,43.00,4.22,E3_0
v133,43.00,4.78,E3_0
v152,44.00,4.96,E7_0
v116,72.00,37.59,E1_0
v115,75.00,40.01,E1_0
v135,73.00,38.35,E5_0
v117,70.00,35.68,E1_0
v134,77.00,41.84,E5_0
v118,68.00,32.89,E1_0
v120,63.00,28.67,E1_0
v137,69.00,34.22,E5_0
v119,66.00,31.53,E1_0
v136,73.00,38.07,E5_0
v122,59.00,24.53,E1_0
v139,65.00,29.84,E5_0
v121,62.00,27.31,E1_0
v138,69.00,33.80,E5_0
v124,55.00,20.52,E1_0
v141,61.00,25.93,E5_0
v123,58.00,23.25,E1_0
v140,65.00,30.07,E5_0
v142,60.00,25.71,E5_0
v126,50.00,15.38,E1_0
v143,57.00,22.32,E5_0
v125,54.00,19.10,E1_0
v144,56.00,21.52,E5_0
v145,53.00,18.03,E5_0
v127,49.00,13.84,E1_0
v146,52.00,17.00,E5_0
v172,39.00,4.63,E5_0
v153,40.00,5.18,E1_0
v173,39.00,4.39,E5_0
v154,39.00,4.71,E1_0
v155,39.00,4.37,E1_0
v174,40.00,5.03,E5_0
v167,51.00,12.89,E3_0
v166,55.00,16.00,E3_0
v186,53.00,14.42,E7_0
v185,56.00,17.26,E7_0
v169,48.00,9.06,E3_0
v168,51.00,12.04,E3_0
v188,50.00,11.65,E7_0
v187,52.00,13.09,E7_0
v170,46.00,7.67,E3_0
v171,44.00,5.28,E3_0
v189,47.00,8.81,E7_0
v190,45.00,6.61,E7_0
v157,69.00,34.55,E1_0
v156,72.00,37.48,E1_0
v176,71.00,36.68,E5_0
v159,65.00,30.71,E1_0
v175,74.00,39.17,E5_0
v158,68.00,33.27,E1_0
v178,67.00,32.62,E5_0
v177,70.00,34.88,E5_0
v160,64.00,29.02,E1_0
v161,62.00,26.93,E1_0
v180,63.00,28.43,E5_0
v179,66.00,31.38,E5_0
v162,60.00,24.80,E1_0
v163,58.00,22.79,E1_0
v165,53.00,18.56,E1_0
v181,62.00,27.39,E5_0
v164,56.00,21.36,E1_0
v182,60.00,25.10,E5_0
v183,58.00,23.20,E5_0
v184,56.00,20.89,E5_0
v205,49.00,10.72,E3_0
v204,53.00,14.10,E3_0
v207,45.00,6.59,E3_0
v224,51.00,12.61,E7_0
v206,48.00,9.83,E3_0
v223,55.00,16.40,E7_0
v208,44.00,5.40,E3_0
v226,47.00,8.31,E7_0
v225,51.00,12.20,E7_0
v227,46.00,7.17,E7_0
v228,44.00,5.03,E7_0
v209,44.00,5.63,E3_0
v192,77.00,41.84,E1_0
v210,80.00,45.48,E5_0
v191,80.00,44.82,E1_0
v194,72.00,37.58,E1_0
v211,78.00,43.17,E5_0
v193,75.00,40.44,E1_0
v212,76.00,41.60,E5_0
v196,68.00,33.45,E1_0
v213,74.00,39.25,E5_0
v195,71.00,36.29,E1_0
v214,72.00,37.42,E5_0
v198,64.00,29.28,E1_0
v215,69.00,34.60,E5_0
v197,67.00,32.28,E1_0
v216,67.00,32.21,E5_0
v200,60.00,25.16,E1_0
v217,65.00,30.37,E5_0
v199,63.00,28.17,E1_0
v218,63.00,28.27,E5_0
v202,56.00,20.90,E1_0
v219,61.00,26.15,E5_0
v201,59.00,23.85,E1_0
v220,59.00,24.29,E5_0
v203,54.00,19.65,E1_0
v221,57.00,22.14,E5_0
v222,55.00,20.01,E5_0
v243,46.00,7.21,E3_0
v242,51.00,11.99,E3_0
v244,45.00,5.99,E3_0
v261,52.00,13.61,E7_0
v262,49.00,10.34,E7_0
v245,44.00,4.93,E3_0
v263,48.00,9.75,E7_0
v264,45.00,6.32,E7_0
v265,45.00,6.22,E7_0
v246,44.00,5.02,E3_0
v266,43.00,4.39,E7_0
v247,43.00,4.81,E3_0
v230,74.00,39.54,E1_0
v229,77.00,42.26,E1_0
v248,78.00,43.75,E5_0
v232,70.00,35.47,E1_0
v231,73.00,38.61,E1_0
v249,77.00,41.95,E5_0
v234,66.00,31.24,E1_0
v250,75.00,40.17,E5_0
v233,69.00,34.45,E1_0
v251,73.00,37.80,E5_0
v253,68.00,33.59,E5_0
v252,71.00,36.01,E5_0
v236,63.00,27.84,E1_0
v235,66.00,30.80,E1_0
v255,64.00,29.23,E5_0
v238,58.00,23.66,E1_0
v254,67.00,32.06,E5_0
v237,61.00,26.66,E1_0
v257,60.00,25.07,E5_0
v240,54.00,19.64,E1_0
v256,63.00,28.03,E5_0
v239,57.00,22.43,E1_0
v259,56.00,20.87,E5_0
v258,59.00,23.96,E5_0
v241,53.00,18.23,E1_0
v260,55.00,19.78,E5_0
v281,44.00,5.08,E3_0
v300,45.00,6.54,E7_0
v299,49.00,10.55,E7_0
v280,49.00,10.15,E3_0
v282,44.00,5.27,E3_0
v301,44.00,5.31,E7_0
v302,43.00,4.67,E7_0
v283,44.00,5.50,E3_0
v303,43.00,4.63,E7_0
v284,43.00,4.85,E3_0
v304,43.00,4.31,E7_0
v285,44.00,5.04,E3_0
v267,75.00,40.61,E1_0
v268,73.00,37.81,E1_0
v270,68.00,33.63,E1_0
v287,74.00,39.31,E5_0
v286,77.00,41.90,E5_0
v269,71.00,36.38,E1_0
v272,64.00,29.43,E1_0
v289,70.00,35.26,E5_0
v288,73.00,37.99,E5_0
v271,67.00,32.19,E1_0
v274,60.00,25.46,E1_0
v291,66.00,31.46,E5_0
v290,69.00,34.03,E5_0
v273,63.00,28.09,E1_0
v292,65.00,29.94,E5_0
v275,59.00,23.89,E1_0
v276,57.00,21.91,E1_0
v293,63.00,27.87,E5_0
v294,60.00,25.66,E5_0
v277,54.00,19.64,E1_0
v295,58.00,23.55,E5_0
v278,53.00,18.03,E1_0
v296,56.00,21.47,E5_0
v279,50.00,15.52,E1_0
v297,54.00,19.64,E5_0
v298,52.00,17.22,E5_0
v318,44.00,5.86,E3_0
v319,43.00,4.29,E3_0
v337,47.00,8.71,E7_0
v338,44.00,5.01,E7_0
v339,43.00,4.68,E7_0
v320,43.00,4.62,E3_0
v340,44.00,5.06,E7_0
v321,44.00,5.15,E3_0
v341,43.00,4.27,E7_0
v322,43.00,4.80,E3_0
v323,43.00,4.83,E3_0
v342,44.00,5.47,E7_0
v306,70.00,35.62,E1_0
v305,73.00,38.56,E1_0
v308,66.00,31.65,E1_0
v325,72.00,37.50,E5_0
v324,75.00,40.38,E5_0
v307,69.00,34.58,E1_0
v310,62.00,27.28,E1_0
v327,68.00,33.51,E5_0
v326,71.00,36.11,E5_0
v309,65.00,30.35,E1_0
v312,58.00,23.22,E1_0
v329,64.00,29.41,E5_0
v328,67.00,32.06,E5_0
v311,61.00,26.25,E1_0
v314,54.00,19.07,E1_0
v331,60.00,25.24,E5_0
v330,63.00,27.80,E5_0
v313,57.00,22.15,E1_0
v316,50.00,14.94,E1_0
v333,56.00,21.11,E5_0
v332,59.00,23.89,E5_0
