id,duration,timeLoss,departLane
v1,39.00,4.71,E1_0
v29,41.00,6.70,E5_0
v30,39.00,4.60,E5_0
v2,39.00,4.14,E1_0
v31,39.00,4.67,E5_0
v3,39.00,4.56,E1_0
v32,39.00,4.56,E5_0
v4,39.00,4.63,E1_0
v33,39.00,3.95,E5_0
v5,39.00,4.44,E1_0
v34,39.00,4.34,E5_0
v6,40.00,5.10,E1_0
v26,59.00,20.71,E3_0
v25,63.00,24.33,E3_0
v28,55.00,16.70,E3_0
v54,61.00,22.34,E7_0
v53,64.00,25.61,E7_0
v27,59.00,20.12,E3_0
v56,57.00,18.49,E7_0
v55,60.00,21.47,E7_0
v8,68.00,33.70,E1_0
v7,71.00,36.30,E1_0
v36,70.00,34.92,E5_0
v35,73.00,38.27,E5_0
v9,67.00,32.50,E1_0
v10,65.00,29.92,E1_0
v12,59.00,24.71,E1_0
v38,66.00,30.91,E5_0
v37,69.00,34.13,E5_0
v11,62.00,27.29,E1_0
v14,55.00,20.67,E1_0
v40,62.00,26.98,E5_0
v39,65.00,30.09,E5_0
v13,58.00,23.31,E1_0
v16,51.00,16.52,E1_0
v42,58.00,22.83,E5_0
v41,61.00,25.91,E5_0
v15,54.00,19.23,E1_0
v44,53.00,18.71,E5_0
v18,47.00,12.27,E1_0
v43,57.00,21.87,E5_0
v17,50.00,15.15,E1_0
v46,49.00,14.52,E5_0
v20,43.00,8.02,E1_0
v45,53.00,18.13,E5_0
v19,46.00,10.93,E1_0
v48,46.00,10.84,E5_0
v47,49.00,14.01,E5_0
v21,42.00,7.01,E1_0
v82,58.00,19.22,E3_0
v81,61.00,22.31,E3_0
v110,59.00,20.38,E7_0
v109,62.00,23.37,E7_0
v84,54.00,15.68,E3_0
v83,57.00,18.13,E3_0
v112,55.00,16.24,E7_0
v111,58.00,19.20,E7_0
v23,81.00,46.55,E1_0
v22,85.00,49.75,E1_0
v50,87.00,52.38,E5_0
v24,80.00,45.62,E1_0
v49,91.00,55.98,E5_0
v57,78.00,42.98,E1_0
v51,86.00,51.06,E5_0
v58,76.00,41.62,E1_0
v52,84.00,48.75,E5_0
v59,74.00,38.94,E1_0
v86,79.00,44.69,E5_0
v61,70.00,35.80,E1_0
v85,82.00,47.21,E5_0
v60,74.00,38.83,E1_0
v88,75.00,40.52,E5_0
v63,65.00,30.50,E1_0
v87,78.00,43.04,E5_0
v62,69.00,34.45,E1_0
v90,71.00,36.24,E5_0
v65,61.00,26.34,E1_0
v89,74.00,38.90,E5_0
v64,64.00,29.21,E1_0
v91,69.00,34.52,E5_0
v92,67.00,32.10,E5_0
v66,61.00,26.24,E1_0
v67,58.00,23.60,E1_0
v93,65.00,30.38,E5_0
v94,64.00,29.21,E5_0
v137,59.00,20.39,E3_0
v138,56.00,16.93,E3_0
v140,51.00,12.80,E3_0
v166,57.00,18.49,E7_0
v165,60.00,21.44,E7_0
v139,55.00,16.39,E3_0
v168,53.00,14.25,E7_0
v167,56.00,17.38,E7_0
v69,96.00,61.35,E1_0
v68,100.00,64.82,E1_0
v71,92.00,57.33,E1_0
v96,102.00,67.18,E5_0
v95,106.00,71.04,E5_0
v70,95.00,60.69,E1_0
v73,88.00,53.52,E1_0
v98,98.00,62.94,E5_0
v97,101.00,66.33,E5_0
v72,91.00,56.52,E1_0
v75,84.00,49.35,E1_0
v100,94.00,59.01,E5_0
v99,98.00,62.83,E5_0
v74,88.00,53.09,E1_0
v77,80.00,45.16,E1_0
v102,90.00,54.90,E5_0
v101,93.00,58.48,E5_0
v76,84.00,48.85,E1_0
v79,76.00,40.89,E1_0
v104,86.00,50.98,E5_0
v103,89.00,54.31,E5_0
v78,79.00,44.47,E1_0
v113,72.00,36.98,E1_0
v106,82.00,46.86,E5_0
v105,85.00,50.16,E5_0
v80,75.00,40.39,E1_0
v108,77.00,42.56,E5_0
v115,68.00,33.28,E1_0
v107,81.00,46.22,E5_0
v194,64.00,25.10,E3_0
v193,67.00,28.21,E3_0
v222,65.00,26.50,E7_0
v221,68.00,29.54,E7_0
v196,60.00,21.14,E3_0
v195,63.00,24.27,E3_0
v224,61.00,22.41,E7_0
v223,64.00,25.45,E7_0
v117,106.00,71.23,E1_0
v114,115.00,80.57,E1_0
v119,102.00,67.14,E1_0
v142,118.00,83.47,E5_0
v141,121.00,86.25,E5_0
v116,111.00,76.66,E1_0
v121,98.00,63.15,E1_0
v144,114.00,79.41,E5_0
v143,117.00,82.40,E5_0
v118,107.00,72.67,E1_0
v123,94.00,59.52,E1_0
v146,110.00,75.26,E5_0
v145,113.00,78.17,E5_0
v120,103.00,68.43,E1_0
v125,90.00,55.31,E1_0
v148,106.00,71.04,E5_0
v147,109.00,73.94,E5_0
v122,99.00,64.18,E1_0
v127,86.00,51.13,E1_0
v150,102.00,66.90,E5_0
v149,105.00,69.90,E5_0
v124,95.00,60.31,E1_0
v151,100.00,65.63,E5_0
v128,85.00,49.96,E1_0
v152,98.00,62.75,E5_0
v126,91.00,56.18,E1_0
v154,93.00,58.52,E5_0
v153,96.00,61.42,E5_0
v156,89.00,54.69,E5_0
v130,106.00,71.19,E1_0
v129,109.00,74.21,E1_0
v158,109.00,74.52,E5_0
v132,102.00,67.63,E1_0
v155,118.00,83.06,E5_0
v131,105.00,70.53,E1_0
v157,114.00,78.93,E5_0
v133,101.00,66.36,E1_0
v160,105.00,70.10,E5_0
v134,99.00,63.88,E1_0
v136,94.00,59.72,E1_0
v159,110.00,75.18,E5_0
v135,97.00,62.24,E1_0
v162,101.00,66.00,E5_0
v164,96.00,61.68,E5_0
v170,90.00,55.55,E1_0
v161,105.00,70.31,E5_0
v169,93.00,58.31,E1_0
v198,92.00,57.69,E5_0
v172,86.00,51.29,E1_0
v163,101.00,66.25,E5_0
v171,89.00,54.16,E1_0
v200,88.00,53.70,E5_0
v174,82.00,47.22,E1_0
v197,97.00,62.09,E5_0
v173,85.00,49.96,E1_0
v202,84.00,49.46,E5_0
v199,93.00,57.74,E5_0
v250,81.00,41.99,E3_0
v249,84.00,45.28,E3_0
v278,82.00,43.60,E7_0
v277,85.00,46.23,E7_0
v252,77.00,37.95,E3_0
v251,80.00,41.27,E3_0
v280,78.00,39.46,E7_0
v279,81.00,42.41,E7_0
v176,112.00,77.63,E1_0
v175,116.00,81.26,E1_0
v178,108.00,73.66,E1_0
v204,114.00,78.92,E5_0
v201,123.00,88.22,E5_0
v177,112.00,77.68,E1_0
v180,104.00,69.41,E1_0
v206,110.00,75.30,E5_0
v203,119.00,84.07,E5_0
v179,108.00,73.62,E1_0
v181,103.00,68.22,E1_0
v208,106.00,71.50,E5_0
v205,115.00,80.18,E5_0
v182,101.00,66.28,E1_0
v184,96.00,61.01,E1_0
v210,102.00,67.34,E5_0
v207,111.00,76.00,E5_0
v183,100.00,65.08,E1_0
v186,92.00,56.79,E1_0
v212,98.00,63.09,E5_0
v209,107.00,72.12,E5_0
v185,96.00,60.93,E1_0
v188,88.00,52.78,E1_0
v213,97.00,61.82,E5_0
v211,103.00,67.87,E5_0
v187,92.00,56.79,E1_0
v215,92.00,57.53,E5_0
v214,96.00,61.04,E5_0
v306,89.00,50.16,E3_0
v305,92.00,52.96,E3_0
v334,90.00,50.88,E7_0
v333,93.00,54.48,E7_0
v307,87.00,48.71,E3_0
v308,85.00,46.17,E3_0
v336,86.00,46.97,E7_0
v335,89.00,50.28,E7_0
v361,43.00,4.73,E3_0
v389,44.00,4.94,E7_0
v189,132.00,97.08,E1_0
v190,129.00,93.95,E1_0
v216,136.00,101.57,E5_0
v217,133.00,97.79,E5_0
v191,128.00,92.95,E1_0
v192,125.00,89.81,E1_0
v218,132.00,97.52,E5_0
v226,120.00,85.53,E1_0
v219,129.00,93.83,E5_0
v225,124.00,88.81,E1_0
v220,128.00,93.34,E5_0
v227,119.00,84.49,E1_0
v228,116.00,81.54,E1_0
v253,125.00,89.78,E5_0
v254,123.00,88.54,E5_0
v255,121.00,86.17,E5_0
v229,115.00,80.48,E1_0
v230,112.00,77.25,E1_0
v257,117.00,81.96,E5_0
v231,111.00,76.30,E1_0
v232,108.00,73.60,E1_0
v256,120.00,84.83,E5_0
v258,115.00,80.56,E5_0
v259,112.00,77.62,E5_0
v233,107.00,72.40,E1_0
v234,104.00,69.43,E1_0
v261,108.00,73.42,E5_0
v260,112.00,76.86,E5_0
v236,125.00,90.13,E1_0
v235,129.00,93.94,E1_0
v238,121.00,85.96,E1_0
v263,130.00,95.36,E5_0
v262,133.00,98.36,E5_0
v237,125.00,90.06,E1_0
v240,117.00,82.21,E1_0
v265,126.00,91.08,E5_0
v264,129.00,94.20,E5_0
v239,121.00,85.98,E1_0
v241,116.00,81.13,E1_0
v267,122.00,87.20,E5_0
v266,125.00,90.09,E5_0
v242,114.00,78.92,E1_0
v244,109.00,74.67,E1_0
v243,112.00,76.92,E1_0
v269,118.00,83.07,E5_0
v268,121.00,85.92,E5_0
v245,108.00,73.48,E1_0
v246,105.00,69.80,E1_0
v271,114.00,78.93,E5_0
v270,117.00,82.28,E5_0
v248,100.00,65.60,E1_0
v247,104.00,69.36,E1_0
v272,113.00,77.78,E5_0
v273,110.00,75.30,E5_0
v275,105.00,70.43,E5_0
v274,109.00,74.21,E5_0
v363,103.00,63.87,E3_0
v362,106.00,67.07,E3_0
v417,50.00,11.77,E3_0
v391,104.00,65.08,E7_0
v390,107.00,68.35,E7_0
v445,51.00,12.78,E7_0
v364,102.00,63.00,E3_0
v419,46.00,7.61,E3_0
v392,103.00,64.13,E7_0
v447,47.00,8.85,E7_0
v418,50.00,11.04,E3_0
v420,45.00,6.33,E3_0
v446,51.00,12.04,E7_0
v448,47.00,8.01,E7_0
v282,131.00,96.52,E1_0
v281,135.00,100.18,E1_0
v284,127.00,92.58,E1_0
v309,136.00,101.36,E5_0
v276,139.00,103.80,E5_0
v283,131.00,95.89,E1_0
v286,123.00,88.44,E1_0
v311,132.00,97.65,E5_0
v310,135.00,100.04,E5_0
v285,127.00,91.87,E1_0
v288,120.00,85.23,E1_0
v312,131.00,95.90,E5_0
v287,123.00,87.94,E1_0
v313,129.00,93.80,E5_0
v314,126.00,91.67,E5_0
v290,115.00,80.12,E1_0
v315,124.00,89.59,E5_0
v289,120.00,84.76,E1_0
v316,122.00,87.38,E5_0
v291,114.00,79.55,E1_0
v292,111.00,75.89,E1_0
v317,120.00,85.45,E5_0
v294,106.00,71.60,E1_0
v318,118.00,83.45,E5_0
v293,110.00,75.64,E1_0
v319,116.00,81.23,E5_0
v320,114.00,79.23,E5_0
v296,103.00,67.92,E1_0
v321,112.00,77.01,E5_0
v322,110.00,75.60,E5_0
v298,122.00,87.39,E1_0
v295,132.00,97.13,E1_0
v323,133.00,97.82,E5_0
v325,128.00,92.84,E5_0
v297,128.00,93.27,E1_0
v300,119.00,83.89,E1_0
