id,duration,timeLoss,departLane
v12,50.00,11.42,E3_0
v11,53.00,14.58,E3_0
v26,55.00,16.59,E7_0
v14,46.00,7.31,E3_0
v27,52.00,13.15,E7_0
v13,49.00,10.65,E3_0
v28,51.00,12.63,E7_0
v15,45.00,6.06,E3_0
v29,48.00,9.44,E7_0
v30,47.00,8.31,E7_0
v2,78.00,42.75,E1_0
v1,81.00,45.85,E1_0
v17,79.00,44.59,E5_0
v16,82.00,47.53,E5_0
v3,76.00,41.47,E1_0
v4,74.00,38.81,E1_0
v6,69.00,34.56,E1_0
v19,75.00,40.32,E5_0
v18,78.00,43.20,E5_0
v5,72.00,37.13,E1_0
v8,65.00,30.38,E1_0
v21,71.00,36.32,E5_0
v20,74.00,39.29,E5_0
v7,68.00,32.95,E1_0
v10,61.00,26.17,E1_0
v23,68.00,33.18,E5_0
v22,71.00,36.00,E5_0
v9,64.00,28.81,E1_0
v25,63.00,27.99,E5_0
v24,66.00,31.17,E5_0
v42,48.00,9.72,E3_0
v41,52.00,13.11,E3_0
v44,44.00,5.71,E3_0
v57,50.00,11.58,E7_0
v56,53.00,14.15,E7_0
v58,48.00,9.93,E7_0
v43,48.00,9.16,E3_0
v45,43.00,4.73,E3_0
v59,46.00,7.30,E7_0
v60,44.00,5.60,E7_0
v32,75.00,40.00,E1_0
v31,79.00,43.81,E1_0
v46,80.00,45.66,E5_0
v34,71.00,36.12,E1_0
v47,78.00,42.75,E5_0
v33,75.00,40.02,E1_0
v49,73.00,38.49,E5_0
v48,76.00,41.70,E5_0
v36,67.00,32.06,E1_0
v35,71.00,36.29,E1_0
v51,69.00,34.26,E5_0
v38,63.00,28.26,E1_0
v50,73.00,37.85,E5_0
v37,67.00,32.07,E1_0
v53,65.00,30.09,E5_0
v40,59.00,23.94,E1_0
v52,69.00,33.84,E5_0
v39,63.00,28.03,E1_0
v55,61.00,26.28,E5_0
v54,64.00,29.50,E5_0
v72,45.00,6.35,E3_0
v86,50.00,11.81,E7_0
v71,50.00,11.39,E3_0
v73,44.00,5.20,E3_0
v87,47.00,8.39,E7_0
v74,43.00,4.70,E3_0
v88,46.00,7.53,E7_0
v89,44.00,5.30,E7_0
v90,44.00,5.58,E7_0
v75,44.00,5.11,E3_0
v62,73.00,38.18,E1_0
v61,76.00,41.56,E1_0
v77,75.00,40.30,E5_0
v76,78.00,42.80,E5_0
v63,72.00,37.44,E1_0
v64,70.00,34.98,E1_0
v78,73.00,38.51,E5_0
v66,65.00,30.73,E1_0
v79,71.00,36.07,E5_0
v65,68.00,33.48,E1_0
v80,69.00,34.66,E5_0
v68,61.00,26.52,E1_0
v81,67.00,32.19,E5_0
v67,64.00,29.31,E1_0
v82,65.00,30.50,E5_0
v70,57.00,22.48,E1_0
v83,63.00,28.05,E5_0
v84,61.00,26.50,E5_0
v69,61.00,25.89,E1_0
v85,59.00,24.01,E5_0
v117,44.00,5.55,E7_0
v101,47.00,8.02,E3_0
v102,44.00,4.97,E3_0
v116,49.00,10.34,E7_0
v103,43.00,4.87,E3_0
v118,44.00,5.51,E7_0
v104,43.00,4.51,E3_0
v119,44.00,5.15,E7_0
v120,43.00,4.56,E7_0
v105,43.00,4.23,E3_0
v92,71.00,36.65,E1_0
v91,74.00,39.69,E1_0
v107,72.00,37.69,E5_0
v106,76.00,41.12,E5_0
v93,70.00,35.43,E1_0
v94,68.00,32.86,E1_0
v109,69.00,33.98,E5_0
v108,72.00,37.47,E5_0
v95,66.00,31.70,E1_0
v96,64.00,29.11,E1_0
v111,65.00,29.97,E5_0
v110,68.00,33.40,E5_0
v97,62.00,27.43,E1_0
v98,60.00,24.88,E1_0
v100,55.00,20.71,E1_0
v113,61.00,25.90,E5_0
v112,64.00,29.26,E5_0
v99,58.00,23.37,E1_0
v115,56.00,21.68,E5_0
v114,60.00,25.40,E5_0
v131,44.00,5.05,E3_0
v146,45.00,6.07,E7_0
v147,43.00,4.78,E7_0
v132,44.00,5.28,E3_0
v133,43.00,4.51,E3_0
v148,44.00,5.10,E7_0
v134,42.00,3.84,E3_0
v149,43.00,4.49,E7_0
v135,43.00,4.54,E3_0
v150,44.00,5.05,E7_0
v122,69.00,34.29,E1_0
v136,73.00,38.70,E5_0
v121,73.00,38.15,E1_0
v124,65.00,30.43,E1_0
v137,71.00,36.24,E5_0
v123,69.00,34.00,E1_0
v126,61.00,26.45,E1_0
v139,67.00,32.22,E5_0
v138,70.00,34.90,E5_0
v125,64.00,29.70,E1_0
v128,57.00,22.69,E1_0
v141,63.00,28.28,E5_0
v140,66.00,30.96,E5_0
v127,60.00,25.48,E1_0
v142,61.00,26.79,E5_0
v130,53.00,18.48,E1_0
v143,59.00,24.01,E5_0
v129,56.00,21.31,E1_0
v145,54.00,19.71,E5_0
v144,58.00,22.98,E5_0
v161,43.00,4.62,E3_0
v176,44.00,5.25,E7_0
v177,43.00,4.20,E7_0
v162,44.00,5.28,E3_0
v178,43.00,4.60,E7_0
v163,43.00,4.57,E3_0
v179,44.00,4.97,E7_0
v164,44.00,5.15,E3_0
v165,43.00,4.35,E3_0
v180,44.00,4.94,E7_0
v152,67.00,32.69,E1_0
v151,71.00,35.96,E1_0
v167,69.00,34.71,E5_0
v166,72.00,37.14,E5_0
v154,64.00,28.76,E1_0
v153,67.00,31.90,E1_0
v169,65.00,30.59,E5_0
v156,59.00,24.65,E1_0
v168,68.00,33.21,E5_0
v155,63.00,28.00,E1_0
v171,61.00,26.49,E5_0
v158,55.00,20.50,E1_0
v170,64.00,29.21,E5_0
v157,58.00,23.64,E1_0
v173,57.00,22.33,E5_0
v160,51.00,16.41,E1_0
v172,60.00,25.13,E5_0
v159,54.00,19.47,E1_0
v175,53.00,18.12,E5_0
v174,56.00,21.00,E5_0
v191,44.00,5.00,E3_0
v206,44.00,5.24,E7_0
v192,44.00,5.28,E3_0
v207,44.00,5.04,E7_0
v208,43.00,4.83,E7_0
v193,44.00,5.35,E3_0
v209,43.00,4.62,E7_0
v194,44.00,5.75,E3_0
v210,43.00,4.53,E7_0
v182,65.00,30.48,E1_0
v181,68.00,33.52,E1_0
v184,61.00,26.45,E1_0
v197,67.00,31.84,E5_0
v196,70.00,34.85,E5_0
v183,64.00,29.46,E1_0
v186,56.00,21.60,E1_0
v199,62.00,27.16,E5_0
v198,65.00,30.10,E5_0
v185,60.00,25.39,E1_0
v188,52.00,17.67,E1_0
v201,58.00,23.46,E5_0
v200,61.00,25.98,E5_0
v187,55.00,20.30,E1_0
v190,48.00,13.60,E1_0
v203,54.00,19.15,E5_0
v202,57.00,21.82,E5_0
v189,51.00,16.11,E1_0
v204,53.00,18.59,E5_0
v205,51.00,16.06,E5_0
v195,88.00,49.29,E3_0
v236,43.00,4.71,E7_0
v221,43.00,4.51,E3_0
v237,44.00,5.29,E7_0
v222,44.00,4.96,E3_0
v238,43.00,4.76,E7_0
v223,44.00,4.96,E3_0
v224,43.00,4.81,E3_0
v239,44.00,5.15,E7_0
v211,66.00,31.71,E1_0
v212,64.00,29.05,E1_0
v227,65.00,30.65,E5_0
v226,68.00,33.12,E5_0
v213,62.00,27.66,E1_0
v214,60.00,24.87,E1_0
v216,55.00,20.67,E1_0
v229,61.00,26.42,E5_0
v228,64.00,28.91,E5_0
v215,58.00,23.39,E1_0
v218,51.00,16.41,E1_0
v231,57.00,22.61,E5_0
v230,60.00,24.91,E5_0
v217,54.00,19.48,E1_0
v220,47.00,12.41,E1_0
v233,53.00,18.40,E5_0
v232,56.00,20.79,E5_0
v219,50.00,15.31,E1_0
v234,51.00,16.60,E5_0
v235,49.00,14.18,E5_0
v225,85.00,46.77,E3_0
v240,87.00,48.15,E7_0
v266,43.00,4.50,E7_0
v251,43.00,4.28,E3_0
