id,duration,timeLoss,departLane
v1,39.00,4.71,E1_0
v29,41.00,6.67,E5_0
v30,39.00,4.53,E5_0
v2,39.00,4.12,E1_0
v31,39.00,4.60,E5_0
v3,39.00,4.62,E1_0
v32,39.00,4.51,E5_0
v4,39.00,4.64,E1_0
v33,39.00,3.99,E5_0
v5,39.00,4.36,E1_0
v34,39.00,4.51,E5_0
v6,40.00,5.21,E1_0
v26,69.00,30.76,E3_0
v25,72.00,33.80,E3_0
v28,65.00,26.82,E3_0
v54,71.00,32.40,E7_0
v53,74.00,35.65,E7_0
v27,69.00,30.14,E3_0
v56,67.00,28.35,E7_0
v55,70.00,31.41,E7_0
v8,79.00,44.67,E1_0
v7,83.00,48.10,E1_0
v36,81.00,46.41,E5_0
v35,84.00,49.07,E5_0
v9,79.00,43.89,E1_0
v10,76.00,40.93,E1_0
v38,77.00,42.14,E5_0
v37,80.00,44.89,E5_0
v11,74.00,39.12,E1_0
v12,71.00,35.85,E1_0
v39,75.00,40.62,E5_0
v14,66.00,31.57,E1_0
v40,73.00,38.22,E5_0
v13,70.00,35.07,E1_0
v41,71.00,36.65,E5_0
v16,62.00,27.41,E1_0
v42,69.00,34.22,E5_0
v15,66.00,31.65,E1_0
v43,67.00,32.64,E5_0
v18,58.00,23.19,E1_0
v44,65.00,30.04,E5_0
v17,62.00,27.38,E1_0
v45,63.00,28.55,E5_0
v20,54.00,19.01,E1_0
v46,61.00,25.90,E5_0
v48,56.00,21.67,E5_0
v47,59.00,24.38,E5_0
v82,67.00,28.70,E3_0
v110,68.00,29.79,E7_0
v109,71.00,32.71,E7_0
v81,71.00,32.08,E3_0
v84,64.00,25.38,E3_0
v83,67.00,28.14,E3_0
v112,65.00,26.34,E7_0
v111,68.00,28.92,E7_0
v22,93.00,58.66,E1_0
v19,103.00,67.81,E1_0
v24,89.00,54.62,E1_0
v50,96.00,61.38,E5_0
v49,99.00,64.03,E5_0
v21,99.00,63.99,E1_0
v57,88.00,53.29,E1_0
v52,92.00,57.17,E5_0
v51,95.00,60.04,E5_0
v23,95.00,60.06,E1_0
v59,84.00,49.36,E1_0
v86,88.00,53.28,E5_0
v85,91.00,55.86,E5_0
v58,88.00,52.79,E1_0
v87,87.00,52.18,E5_0
v88,84.00,49.10,E5_0
v60,83.00,48.57,E1_0
v61,81.00,45.82,E1_0
v63,76.00,41.60,E1_0
v90,80.00,45.10,E5_0
v89,83.00,48.02,E5_0
v62,79.00,44.42,E1_0
v65,72.00,37.32,E1_0
v92,76.00,40.82,E5_0
v91,79.00,43.85,E5_0
v64,75.00,40.11,E1_0
v94,71.00,36.60,E5_0
v93,74.00,39.71,E5_0
v66,71.00,36.33,E1_0
v137,68.00,29.75,E3_0
v138,66.00,27.25,E3_0
v166,67.00,28.39,E7_0
v165,70.00,31.08,E7_0
v139,64.00,25.53,E3_0
v140,62.00,23.36,E3_0
v168,63.00,24.25,E7_0
v167,66.00,27.44,E7_0
v67,112.00,77.31,E1_0
v68,109.00,74.16,E1_0
v95,115.00,80.66,E5_0
v69,108.00,73.53,E1_0
v96,112.00,77.31,E5_0
v70,105.00,70.38,E1_0
v97,111.00,76.61,E5_0
v71,104.00,69.46,E1_0
v98,108.00,73.30,E5_0
v72,101.00,66.40,E1_0
v99,107.00,72.47,E5_0
v73,100.00,65.36,E1_0
v100,104.00,68.92,E5_0
v74,97.00,62.10,E1_0
v101,103.00,68.62,E5_0
v75,96.00,61.22,E1_0
v102,100.00,64.77,E5_0
v76,93.00,57.96,E1_0
v78,88.00,53.65,E1_0
v103,99.00,64.39,E5_0
v77,92.00,56.95,E1_0
v104,96.00,60.86,E5_0
v79,87.00,52.55,E1_0
v106,91.00,56.67,E5_0
v80,84.00,49.66,E1_0
v105,95.00,60.11,E5_0
v108,87.00,52.42,E5_0
v107,91.00,55.93,E5_0
v113,84.00,49.51,E1_0
v114,81.00,46.17,E1_0
v194,63.00,24.61,E3_0
v193,67.00,28.45,E3_0
v196,59.00,20.64,E3_0
v222,65.00,26.74,E7_0
v221,68.00,28.97,E7_0
v195,63.00,24.35,E3_0
v223,63.00,24.81,E7_0
v224,61.00,22.67,E7_0
v115,122.00,87.66,E1_0
v116,119.00,84.51,E1_0
v142,128.00,93.09,E5_0
v141,131.00,96.24,E5_0
v117,118.00,83.51,E1_0
v118,116.00,80.79,E1_0
v120,111.00,76.42,E1_0
v144,124.00,88.92,E5_0
v143,127.00,92.03,E5_0
v119,114.00,79.44,E1_0
v122,107.00,72.35,E1_0
v146,119.00,84.02,E5_0
v145,123.00,88.20,E5_0
v121,110.00,75.22,E1_0
v124,103.00,68.25,E1_0
v148,115.00,79.78,E5_0
v147,118.00,83.08,E5_0
v123,106.00,71.17,E1_0
v126,99.00,64.36,E1_0
v150,111.00,75.89,E5_0
v149,114.00,78.75,E5_0
v125,102.00,67.31,E1_0
v152,106.00,71.60,E5_0
v151,109.00,74.65,E5_0
v128,95.00,60.16,E1_0
v127,98.00,63.24,E1_0
v154,102.00,67.41,E5_0
v153,105.00,70.55,E5_0
v156,98.00,63.69,E5_0
v249,64.00,25.53,E3_0
v250,62.00,23.11,E3_0
v278,63.00,24.70,E7_0
v277,66.00,27.72,E7_0
v252,58.00,18.94,E3_0
v251,61.00,21.96,E3_0
v280,59.00,20.61,E7_0
v279,62.00,23.61,E7_0
v129,138.00,103.64,E1_0
v130,136.00,101.23,E1_0
v158,137.00,102.20,E5_0
v155,146.00,111.26,E5_0
v132,132.00,97.11,E1_0
v131,135.00,99.90,E1_0
v160,133.00,98.17,E5_0
v157,142.00,107.18,E5_0
v133,130.00,95.67,E1_0
v134,128.00,92.94,E1_0
