id,duration,timeLoss,departLane
1000000,45.00,10.45,E1_0
5000001,43.00,7.82,E5_0
5000000,47.00,11.93,E5_0
5000002,42.00,6.74,E5_0
5000003,40.00,4.95,E5_0
5000004,40.00,4.60,E5_0
5000005,40.00,4.95,E5_0
5000006,39.00,4.19,E5_0
3000000,86.00,46.85,E3_0
7000000,87.00,48.12,E7_0
1000002,54.00,18.91,E1_0
1000001,58.00,22.60,E1_0
5000008,99.00,63.97,E5_0
5000007,103.00,67.60,E5_0
5000010,95.00,59.98,E5_0
5000009,99.00,63.57,E5_0
5000012,91.00,55.82,E5_0
5000011,95.00,59.38,E5_0
5000013,90.00,55.31,E5_0
5000014,87.00,51.70,E5_0
5000015,85.00,50.12,E5_0
5000016,82.00,46.73,E5_0
5000017,81.00,46.23,E5_0
5000018,78.00,42.62,E5_0
5000020,74.00,38.79,E5_0
5000019,79.00,43.50,E5_0
3000001,97.00,58.39,E3_0
7000002,95.00,56.33,E7_0
3000002,95.00,56.14,E3_0
7000001,99.00,60.07,E7_0
7000003,44.00,5.24,E7_0
3000003,44.00,4.65,E3_0
7000004,44.00,4.57,E7_0
1000004,66.00,31.03,E1_0
1000003,70.00,34.84,E1_0
5000022,132.00,97.18,E5_0
5000021,135.00,99.58,E5_0
1000005,66.00,31.06,E1_0
5000024,128.00,93.05,E5_0
5000023,131.00,95.52,E5_0
5000026,124.00,88.88,E5_0
5000025,127.00,91.50,E5_0
5000028,119.00,83.76,E5_0
5000027,122.00,86.44,E5_0
5000030,115.00,79.52,E5_0
5000029,118.00,82.46,E5_0
5000031,113.00,78.18,E5_0
5000032,111.00,75.58,E5_0
5000034,107.00,71.47,E5_0
5000033,110.00,74.42,E5_0
3000005,103.00,64.11,E3_0
7000006,45.00,6.05,E7_0
3000004,107.00,67.86,E3_0
7000005,105.00,65.88,E7_0
7000007,44.00,5.47,E7_0
3000006,48.00,8.65,E3_0
3000007,45.00,5.82,E3_0
7000008,44.00,5.13,E7_0
3000008,44.00,5.27,E3_0
7000009,44.00,4.77,E7_0
3000009,44.00,4.72,E3_0
1000007,79.00,44.21,E1_0
1000006,83.00,47.60,E1_0
5000036,166.00,131.07,E5_0
1000009,75.00,40.23,E1_0
5000035,169.00,133.50,E5_0
1000008,79.00,43.76,E1_0
5000038,162.00,127.18,E5_0
5000037,165.00,129.82,E5_0
5000039,161.00,126.04,E5_0
5000040,158.00,122.82,E5_0
5000041,157.00,121.93,E5_0
5000042,154.00,118.72,E5_0
5000043,153.00,117.77,E5_0
5000044,150.00,114.73,E5_0
5000045,149.00,113.65,E5_0
5000046,146.00,110.67,E5_0
5000047,145.00,109.98,E5_0
3000010,57.00,18.34,E3_0
3000011,55.00,15.70,E3_0
7000011,56.00,16.81,E7_0
7000010,59.00,19.77,E7_0
3000012,53.00,14.57,E3_0
3000013,51.00,11.60,E3_0
7000013,52.00,12.87,E7_0
7000012,55.00,15.64,E7_0
3000014,49.00,10.39,E3_0
7000014,51.00,11.56,E7_0
1000011,91.00,56.10,E1_0
1000010,94.00,59.12,E1_0
5000048,206.00,170.83,E5_0
5000049,203.00,167.72,E5_0
1000013,88.00,52.44,E1_0
1000012,91.00,55.40,E1_0
1000014,86.00,51.28,E1_0
5000050,202.00,166.80,E5_0
5000051,199.00,163.98,E5_0
5000052,197.00,161.71,E5_0
5000053,194.00,158.91,E5_0
5000054,193.00,157.82,E5_0
5000055,190.00,154.97,E5_0
1000015,39.00,3.86,E1_0
5000056,189.00,153.54,E5_0
5000057,186.00,150.83,E5_0
5000058,185.00,149.85,E5_0
5000059,182.00,146.58,E5_0
5000061,179.00,143.38,E5_0
3000015,69.00,30.38,E3_0
3000016,67.00,27.59,E3_0
7000016,68.00,29.46,E7_0
7000015,71.00,31.77,E7_0
3000017,65.00,26.41,E3_0
3000018,63.00,23.82,E3_0
7000018,64.00,25.29,E7_0
7000017,67.00,27.75,E7_0
3000020,59.00,19.80,E3_0
3000019,62.00,22.93,E3_0
7000019,63.00,23.78,E7_0
7000020,61.00,21.90,E7_0
1000017,99.00,63.68,E1_0
1000016,102.00,67.01,E1_0
1000019,94.00,58.93,E1_0
1000018,98.00,62.86,E1_0
5000060,244.00,208.69,E5_0
5000063,235.00,199.89,E5_0
1000021,45.00,10.22,E1_0
1000020,93.00,57.85,E1_0
5000062,240.00,204.61,E5_0
5000066,228.00,192.81,E5_0
1000023,41.00,5.98,E1_0
1000022,44.00,8.93,E1_0
5000064,236.00,201.14,E5_0
5000067,227.00,191.71,E5_0
1000024,40.00,5.16,E1_0
5000065,235.00,200.04,E5_0
5000069,223.00,187.90,E5_0
1000025,39.00,4.19,E1_0
5000068,228.00,193.12,E5_0
5000071,219.00,183.92,E5_0
5000070,224.00,189.05,E5_0
5000073,215.00,180.14,E5_0
5000072,220.00,184.88,E5_0
5000075,211.00,175.98,E5_0
3000022,78.00,39.27,E3_0
3000021,82.00,42.80,E3_0
7000022,81.00,42.00,E7_0
7000021,84.00,45.39,E7_0
3000024,75.00,35.73,E3_0
3000023,78.00,38.55,E3_0
7000024,77.00,38.21,E7_0
7000023,80.00,41.24,E7_0
3000026,71.00,31.79,E3_0
